"SiO2";"Al2O3";"Fe2O3";"FeO";"CaO";"MgO";"Na2O";"K2O";"MnO";"TiO2";"P2O5";"NiO";"CaF2";"SO3";"Cr2O3";"V2O5";"T";"N"
0.510252564529963;0;0;0;0.489747435470037;0;0;0;0;0;0;0;0;0;0;0;1873;0.2
0.510252564529963;0;0;0;0.489747435470037;0;0;0;0;0;0;0;0;0;0;0;1923;0.152
0.510252564529963;0;0;0;0.489747435470037;0;0;0;0;0;0;0;0;0;0;0;1973;0.119
0.510252564529963;0;0;0;0.489747435470037;0;0;0;0;0;0;0;0;0;0;0;2023;0.097
0.510252564529963;0;0;0;0.489747435470037;0;0;0;0;0;0;0;0;0;0;0;2073;0.08
0.500247903977601;0;0;0;0.499752096022399;0;0;0;0;0;0;0;0;0;0;0;1823;0.243
0.500247903977601;0;0;0;0.499752096022399;0;0;0;0;0;0;0;0;0;0;0;1873;0.181
0.500247903977601;0;0;0;0.499752096022399;0;0;0;0;0;0;0;0;0;0;0;1923;0.139
0.500247903977601;0;0;0;0.499752096022399;0;0;0;0;0;0;0;0;0;0;0;1973;0.111
0.500247903977601;0;0;0;0.499752096022399;0;0;0;0;0;0;0;0;0;0;0;2023;0.09
0.500247903977601;0;0;0;0.499752096022399;0;0;0;0;0;0;0;0;0;0;0;2073;0.075
0.490229413141732;0;0;0;0.509770586858268;0;0;0;0;0;0;0;0;0;0;0;1773;0.303
0.490229413141732;0;0;0;0.509770586858268;0;0;0;0;0;0;0;0;0;0;0;1823;0.22
0.490229413141732;0;0;0;0.509770586858268;0;0;0;0;0;0;0;0;0;0;0;1873;0.166
0.490229413141732;0;0;0;0.509770586858268;0;0;0;0;0;0;0;0;0;0;0;1923;0.128
0.490229413141732;0;0;0;0.509770586858268;0;0;0;0;0;0;0;0;0;0;0;1973;0.101
0.490229413141732;0;0;0;0.509770586858268;0;0;0;0;0;0;0;0;0;0;0;2023;0.083
0.490229413141732;0;0;0;0.509770586858268;0;0;0;0;0;0;0;0;0;0;0;2073;0.072
0.480197063324376;0;0;0;0.519802936675624;0;0;0;0;0;0;0;0;0;0;0;1773;0.288
0.480197063324376;0;0;0;0.519802936675624;0;0;0;0;0;0;0;0;0;0;0;1823;0.211
0.480197063324376;0;0;0;0.519802936675624;0;0;0;0;0;0;0;0;0;0;0;1873;0.157
0.480197063324376;0;0;0;0.519802936675624;0;0;0;0;0;0;0;0;0;0;0;1923;0.12
0.480197063324376;0;0;0;0.519802936675624;0;0;0;0;0;0;0;0;0;0;0;1973;0.096
0.480197063324376;0;0;0;0.519802936675624;0;0;0;0;0;0;0;0;0;0;0;2023;0.079
0.480197063324376;0;0;0;0.519802936675624;0;0;0;0;0;0;0;0;0;0;0;2073;0.066
0.470150825748096;0;0;0;0.529849174251904;0;0;0;0;0;0;0;0;0;0;0;1773;0.257
0.460090671555731;0;0;0;0.539909328444269;0;0;0;0;0;0;0;0;0;0;0;1823;0.139
0.45606270674705;0;0;0;0.54393729325295;0;0;0;0;0;0;0;0;0;0;0;1723;0.351
0.45606270674705;0;0;0;0.54393729325295;0;0;0;0;0;0;0;0;0;0;0;1773;0.239
0.45606270674705;0;0;0;0.54393729325295;0;0;0;0;0;0;0;0;0;0;0;1823;0.18
0.45606270674705;0;0;0;0.54393729325295;0;0;0;0;0;0;0;0;0;0;0;1873;0.139
0.45606270674705;0;0;0;0.54393729325295;0;0;0;0;0;0;0;0;0;0;0;1923;0.105
0.45606270674705;0;0;0;0.54393729325295;0;0;0;0;0;0;0;0;0;0;0;1973;0.081
0.45606270674705;0;0;0;0.54393729325295;0;0;0;0;0;0;0;0;0;0;0;2023;0.068
0.45606270674705;0;0;0;0.54393729325295;0;0;0;0;0;0;0;0;0;0;0;2073;0.06
0.450016571810113;0;0;0;0.549983428189887;0;0;0;0;0;0;0;0;0;0;0;1873;0.14
